phrase,gender_group,biographies_containing_phrase,total_biographies,share_of_biographies
cdu csu,women,2,90,0.022222222222222223
cdu csu,men,0,90,0.0
conservative party,women,2,90,0.022222222222222223
conservative party,men,0,90,0.0
african american,women,2,90,0.022222222222222223
african american,men,0,90,0.0
eniac programmers,women,5,90,0.05555555555555555
eniac programmers,men,0,90,0.0
double helix,women,2,90,0.022222222222222223
double helix,men,0,90,0.0
federal election,women,2,90,0.022222222222222223
federal election,men,0,90,0.0
european union,women,5,90,0.05555555555555555
european union,men,0,90,0.0
west virginia,women,3,90,0.03333333333333333
west virginia,men,0,90,0.0
somerville college,women,4,90,0.044444444444444446
somerville college,men,0,90,0.0
moore school,women,3,90,0.03333333333333333
moore school,men,0,90,0.0
chief systems,women,0,90,0.0
chief systems,men,0,90,0.0
dialogue concerning,women,0,90,0.0
dialogue concerning,men,2,90,0.022222222222222223
spontaneous generation,women,0,90,0.0
spontaneous generation,men,2,90,0.022222222222222223
university heidelberg,women,0,90,0.0
university heidelberg,men,0,90,0.0
special theory,women,0,90,0.0
special theory,men,4,90,0.044444444444444446
atomic bomb,women,0,90,0.0
atomic bomb,men,4,90,0.044444444444444446
field equations,women,0,90,0.0
field equations,men,2,90,0.022222222222222223
theory relativity,women,0,90,0.0
theory relativity,men,0,90,0.0
natural selection,women,0,90,0.0
natural selection,men,2,90,0.022222222222222223
free software,women,0,90,0.0
free software,men,3,90,0.03333333333333333
