bigram,women_count,men_count,log_odds_women_vs_men
cdu csu,20,0,7.377698367301682
conservative party,19,0,7.326431375206378
african american,19,0,7.326431375206378
eniac programmers,18,0,7.272393377893905
double helix,16,0,7.154679745714663
federal election,16,0,7.154679745714663
european union,14,0,7.021237579054955
west virginia,14,0,7.021237579054955
somerville college,13,0,6.947184511230454
moore school,13,0,6.947184511230454
bryn mawr,13,0,6.947184511230454
radium institute,13,0,6.947184511230454
member national,12,0,6.867205854797932
women hall,12,0,6.867205854797932
women computing,12,0,6.867205854797932
migrant crisis,12,0,6.867205854797932
james watson,12,0,6.867205854797932
birkbeck college,12,0,6.867205854797932
ray diffraction,12,0,6.867205854797932
space center,12,0,6.867205854797932
women science,11,0,6.780270169440628
charles babbage,11,0,6.780270169440628
mathematical sciences,11,0,6.780270169440628
grand coalition,11,0,6.780270169440628
second war,11,0,6.780270169440628
east germany,11,0,6.780270169440628
british prime,10,0,6.685050812033169
party leader,10,0,6.685050812033169
national women,10,0,6.685050812033169
aberdeen proving,10,0,6.685050812033169
eniac team,10,0,6.685050812033169
imperial college,10,0,6.685050812033169
institute electrical,10,0,6.685050812033169
information systems,10,0,6.685050812033169
inducted national,10,0,6.685050812033169
proving ground,9,0,6.579801290326286
civil service,9,0,6.579801290326286
women technology,9,0,6.579801290326286
women college,9,0,6.579801290326286
annual symposium,9,0,6.579801290326286
vassar college,9,0,6.579801290326286
female professor,9,0,6.579801290326286
department chemistry,9,0,6.579801290326286
maurice wilkins,9,0,6.579801290326286
hong kong,9,0,6.579801290326286
mount holyoke,9,0,6.579801290326286
otto hahn,9,0,6.579801290326286
newnham college,9,0,6.579801290326286
john mauchly,9,0,6.579801290326286
research station,9,0,6.579801290326286
quantum chemistry,9,0,6.579801290326286
betty holberton,9,0,6.579801290326286
social democratic,9,0,6.579801290326286
iron lady,9,0,6.579801290326286
approval rating,8,0,6.462156979786308
programmers eniac,8,0,6.462156979786308
leader opposition,8,0,6.462156979786308
kennedy space,8,0,6.462156979786308
moscow state,8,0,6.462156979786308
original programmers,8,0,6.462156979786308
chemical physics,8,0,6.462156979786308
working eniac,8,0,6.462156979786308
women scientists,8,0,6.462156979786308
francis crick,8,0,6.462156979786308
european migrant,8,0,6.462156979786308
gas phase,7,0,6.328803919752539
school girls,7,0,6.328803919752539
college london,25,1,2.9856214467543087
watson crick,23,1,2.9022746059120554
fellow american,22,1,2.857842597403151
general election,17,1,2.600147108272551
university paris,16,1,2.539559228873404
american chemical,30,2,2.4796919700992404
abstract algebra,14,1,2.406117062213696
