word,women_count,men_count,log_odds_women_vs_men
hahn,94,0,9.289294555899774
cdu,71,0,9.008714108503316
wilkins,58,0,8.806508805787287
crick,59,1,4.208479800537132
babbage,48,1,4.0021822020109035
female,83,2,3.8615495707171825
coalition,38,1,3.768622162469212
girls,36,1,3.7145695571288386
women,324,15,3.212780944189423
eniac,107,5,3.2022095832633592
labour,49,3,2.930807490481895
watson,81,5,2.9238598990668496
husband,109,7,2.884825130414991
dna,110,8,2.7606037199922993
uranium,55,4,2.7594469558901116
lady,37,3,2.649971277958503
woman,154,13,2.612022453167183
conservative,46,4,2.5807907331701223
mission,42,4,2.4898396541840357
radium,58,6,2.4079138712520796
radioactive,37,4,2.3631201154008097
election,77,10,2.1810739005452526
pennsylvania,38,5,2.1671365782256067
engine,38,5,2.1671365782256067
programmers,52,7,2.144821517059705
chancellor,49,7,2.08540986819618
nasa,66,10,2.0269448626947733
crisis,43,7,1.954818156070369
minister,87,16,1.8335327378905326
analytical,32,6,1.8133468157558783
ray,64,13,1.7340442389507211
party,127,27,1.6887818660329266
massachusetts,42,9,1.680295823882267
virginia,37,8,1.6712205956390196
college,233,54,1.6026353668160889
flight,42,10,1.5750463021753842
mary,42,10,1.5750463021753842
food,40,10,1.5262680398632371
leader,59,15,1.5097134857449295
policy,42,11,1.4798269447679246
recognition,37,10,1.448326763392158
peace,33,9,1.4391986845660778
leadership,49,14,1.3929762088937634
lines,35,10,1.3927723519606678
fame,52,15,1.3834425724608332
protein,40,12,1.3441129970984744
electronic,40,12,1.3441129970984744
station,30,9,1.343918798153252
technologies,48,15,1.3034158872187012
double,32,10,1.3031869709758652
context,28,9,1.2749497279729936
hall,59,19,1.2734649748899622
training,31,10,1.271448350106451
maria,34,11,1.2685738586057382
focused,37,12,1.2661717206273952
prime,58,19,1.256373463298858
union,63,21,1.2390181394182778
schools,33,11,1.2387298054517357
calculations,27,9,1.2385953065055006
fellowship,34,12,1.181638173248435
oxford,48,17,1.1783311264563012
street,31,11,1.1762289926989917
machine,45,16,1.1743943706174407
building,67,24,1.1670946620731402
ph,39,14,1.1647698734908722
engineers,36,13,1.1588015954575928
achievement,36,13,1.1588015954575928
william,80,29,1.1552342390499428
pioneering,27,10,1.133345784798618
network,59,22,1.1269332358519297
association,83,31,1.1253745596758093
african,29,11,1.109559857719947
computing,79,30,1.1087669776035889
data,71,27,1.107336754710701
computational,26,10,1.0956196964546538
west,50,20,1.056714047156393
technology,189,77,1.038587850482929
award,219,91,1.0188712106064337
control,36,15,1.015803242336636
pierre,43,18,1.011228697929003
cambridge,74,31,1.0106136964182404
graduate,33,14,0.9977623958374088
british,98,42,0.9878850394210207
room,32,14,0.9670002039540788
fellow,107,47,0.9632851533240936
team,66,29,0.9628888578885897
chicago,25,11,0.961195004476162
processes,25,11,0.961195004476162
outstanding,31,14,0.9352615830846648
engineering,110,50,0.9290714956417551
served,89,41,0.9156559938880952
officer,26,12,0.9134646536898909
cancer,54,25,0.9106166800364948
faculty,54,25,0.9106166800364948
documentary,28,13,0.9075665070688262
chain,30,14,0.9024825094245831
structure,121,57,0.8933697060876934
country,42,20,0.8823987469068713
national,182,87,0.8787617863656059
multiple,25,12,0.8742593191188585
lecture,52,25,0.8728834732166761
authored,27,13,0.8712120856013332
selected,27,13,0.8712120856013332
distinguished,27,13,0.8712120856013332
management,33,16,0.8643202291777009
electrical,45,22,0.8561110020876935
languages,49,24,0.8542771590095171
computers,60,30,0.8337037658703683
annual,48,24,0.8336621226309099
england,48,24,0.8336621226309099
attend,28,14,0.8335134392443245
join,26,13,0.8334859972573692
chemistry,270,137,0.8191282898057631
american,244,124,0.8175702108664958
social,83,43,0.7982516459925222
members,50,26,0.794465116291475
european,65,34,0.7886097155184961
job,42,22,0.7871339999641429
federal,36,19,0.7795547314816688
receive,28,15,0.7645681539478695
economic,41,22,0.7630422541868204
conference,41,22,0.7630422541868204
nobel,108,58,0.7623316162736328
executive,26,14,0.7594329294328673
research,447,242,0.7543251284322169
education,101,55,0.7484277452749488
center,75,41,0.7445287088988002
conditions,31,17,0.7412315370258099
working,133,73,0.7405511056184331
finite,27,15,0.7282137324803765
professional,25,14,0.7202275948618351
programmer,25,14,0.7202275948618351
home,103,58,0.7149338717388519
structures,23,13,0.7109338218440835
department,107,61,0.7026077131963716
molecular,52,30,0.6906285586539281
otto,26,15,0.6904876441364124
associate,26,15,0.6904876441364124
earned,38,22,0.6870755977840097
post,41,24,0.6760687394920288
systems,103,61,0.6645114960530637
uk,27,16,0.6637168511171236
michael,27,16,0.6637168511171236
organization,40,24,0.6513822229572045
prize,149,90,0.6448158528395976
group,144,87,0.644582897352581
google,41,25,0.6352634048356629
government,131,80,0.6338452396247694
abstract,31,19,0.6300677869332425
awards,34,21,0.6223792944834178
extended,29,18,0.6174366492666707
graduated,37,23,0.6159824526720128
meeting,32,20,0.6105394157073523
support,67,42,0.6076573871250116
retired,27,17,0.6031289717179766
institute,214,135,0.6013971034541178
germany,160,101,0.6007400017609131
sister,44,28,0.5925785018722057
george,33,21,0.5925352413294152
press,33,21,0.5925352413294152
east,36,23,0.5885909839347321
area,39,25,0.5852654889502601
council,53,34,0.5845491863018335
