term,gender_group,biographies_containing_term,total_biographies,share_of_biographies
hahn,women,2,90,0.022222222222222223
hahn,men,0,90,0.0
cdu,women,3,90,0.03333333333333333
cdu,men,0,90,0.0
wilkins,women,2,90,0.022222222222222223
wilkins,men,0,90,0.0
crick,women,3,90,0.03333333333333333
crick,men,1,90,0.011111111111111112
babbage,women,4,90,0.044444444444444446
babbage,men,1,90,0.011111111111111112
female,women,32,90,0.35555555555555557
female,men,2,90,0.022222222222222223
coalition,women,4,90,0.044444444444444446
coalition,men,1,90,0.011111111111111112
girls,women,21,90,0.23333333333333334
girls,men,1,90,0.011111111111111112
women,women,62,90,0.6888888888888889
women,men,12,90,0.13333333333333333
eniac,women,6,90,0.06666666666666667
eniac,men,1,90,0.011111111111111112
universe,women,3,90,0.03333333333333333
universe,men,7,90,0.07777777777777778
motion,women,3,90,0.03333333333333333
motion,men,8,90,0.08888888888888889
relativity,women,1,90,0.011111111111111112
relativity,men,8,90,0.08888888888888889
florence,women,2,90,0.022222222222222223
florence,men,5,90,0.05555555555555555
match,women,2,90,0.022222222222222223
match,men,4,90,0.044444444444444446
chess,women,1,90,0.011111111111111112
chess,men,4,90,0.044444444444444446
steinitz,women,0,90,0.0
steinitz,men,2,90,0.022222222222222223
tournament,women,0,90,0.0
tournament,men,2,90,0.022222222222222223
anthrax,women,0,90,0.0
anthrax,men,2,90,0.022222222222222223
apple,women,0,90,0.0
apple,men,4,90,0.044444444444444446
