word,weighted_degree,network
women,1323,Women
chemistry,1249,Women
college,1108,Women
american,1076,Women
school,937,Women
institute,921,Women
computer,846,Women
national,834,Women
did,810,Women
woman,791,Women
war,764,Women
laboratory,752,Women
scientific,699,Women
working,697,Women
technology,697,Women
theory,1420,Men
german,1054,Men
did,1038,Men
scientific,1020,Men
wrote,985,Men
used,931,Men
mathematics,831,Men
book,816,Men
developed,810,Men
physics,795,Men
computer,778,Men
began,752,Men
study,731,Men
death,730,Men
described,725,Men
